"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"79130  Sorsakoski (Leppävirta)",134,134,134,132,131
"79140  Kotalahti (Leppävirta)",0,0,0,0,0
"79150  Konnuslahti-Valkeamäki (Leppävirta)",3,3,3,3,3
"79160  Saamaiskylä (Leppävirta)",0,0,0,0,0
"79180  Tuppurinmäki (Leppävirta)",0,0,0,0,0
"79190  Valkeamäki (Leppävirta)",0,0,0,0,0
"79230  Moninmäki (Leppävirta)",0,0,0,0,0
"79255  Kurjala-Moninmäki (Leppävirta)",0,0,0,0,0
"79265  Puponmäki (Leppävirta)",0,0,0,0,0
"79330  Näädänmaa (Leppävirta)",0,0,0,0,0
"79350  Itä-Soisalo (Leppävirta)",0,0,0,0,0
"79410  Niinimäki (Leppävirta)",0,0,0,0,0
"79480  Kangaslampi Keskus (Varkaus)",8,5,3,3,2
"79520  Viljolahti (Varkaus)",0,0,0,0,0
"79600  Joroinen Keskus (Joroinen)",267,265,261,261,266
"79620  Huutokoski (Joroinen)",6,6,6,6,5
"79630  Kolma (Joroinen)",0,0,0,0,0
"79660  Kerisalo (Joroinen)",0,0,0,0,0
"79680  Lahnalahti (Joroinen)",0,0,0,0,0
"79690  Kaitainen (Joroinen)",0,0,0,0,0
"79700  Heinävesi Keskus (Heinävesi)",361,360,335,336,338
"79810  Karvion kanava (Heinävesi)",0,0,0,0,0
"79820  Varistaipale (Heinävesi)",0,0,0,0,0
"79830  Palokki (Heinävesi)",0,0,0,0,0
"79850  Uusi-Valamo (Heinävesi)",...,...,...,...,0
"79860  Suuraho - Uusi-Valamo (Heinävesi)",5,5,5,5,5
"79885  Etelä-Petruma (Heinävesi)",0,0,0,0,0
"79895  Sarvikumpu (Heinävesi)",0,0,0,0,0
"79910  Kerma (Heinävesi)",0,0,0,0,0
"79940  Vihtari-Poikiinaho (Heinävesi)",0,0,0,0,0
"80100  Joensuu Keskus, Pohjoinen (Joensuu)",6249,6356,6489,6694,6703
"80110  Joensuu Keskus Eteläinen (Joensuu)",3300,3307,3302,3308,3311
"80130  Kanervala (Joensuu)",567,695,809,948,1005
"80140  Noljakka (Joensuu)",2584,2635,2624,2626,2618
"80160  Rantakylä-Latola (Joensuu)",2882,2891,2861,2882,2908
"80170  Utra (Joensuu)",779,779,769,773,780
"80200  Niinivaara (Joensuu)",2444,2450,2489,2487,2512
"80210  Sairaala-alue (Joensuu)",0,0,...,0,0
"80220  Penttilä (Joensuu)",2420,2480,2497,2570,2654
"80230  Hukanhauta (Joensuu)",552,559,550,551,563
"80260  Kettuvaara (Joensuu)",791,795,791,793,795
"80330  Reijola (Joensuu)",69,69,69,69,69
"80400  Ylämylly (Liperi)",336,337,336,336,337
"80510  Onttola-Kunnasniemi (Kontiolahti)",57,56,57,58,58
"80710  Lehmo (Kontiolahti)",65,65,65,65,65
"80770  Kontiolahti as (Kontiolahti)",1,3,11,11,11
"80780  Kontioniemi (Kontiolahti)",24,24,24,24,24
"80790  Kontioranta-Kontioniemi (Kontiolahti)",24,24,24,24,24
"80850  Paihola (Kontiolahti)",93,93,94,94,94
"80910  Kulho (Kontiolahti)",0,0,0,0,0
"81100  Kontiolahti (Kontiolahti)",92,115,115,115,116
"81120  Katajaranta (Kontiolahti)",0,0,0,0,0
"81160  Romppala-Riihikangas (Kontiolahti)",0,0,0,0,0
"81200  Eno Keskus (Joensuu)",164,162,150,150,140
"81210  Louhioja (Joensuu)",0,0,0,0,0
"81220  Jakokoski (Kontiolahti)",0,0,0,0,0
"81230  Mönni (Kontiolahti)",0,0,0,0,0
"81235  Lehtoi (Kontiolahti)",0,0,0,0,0
"81260  Ahveninen (Joensuu)",0,0,0,0,0
"81270  Paukkaja (Joensuu)",0,0,0,0,0
"81280  Uimaharju (Joensuu)",117,117,81,80,80
"81290  Ukkola (Joensuu)",1,1,1,1,2
"81295  Haapalahti (Joensuu)",0,0,0,0,0
"81320  Kuismavaara (Joensuu)",0,0,0,0,0
"81330  Luhtapohja (Joensuu)",4,4,4,4,4
"81350  Tokrajärvi (Ilomantsi)",0,0,0,0,0
"81360  Sarvinki (Joensuu)",0,0,0,0,0
"81390  Revonkylä (Joensuu)",0,0,0,0,0
"81420  Tyrjänsaari (Ilomantsi)",0,0,0,0,0
"81430  Kivilahti (Ilomantsi)",3,3,3,3,3
"81450  Huhus-Käenkoski (Ilomantsi)",0,0,0,0,0
"81460  Käenkoski (Ilomantsi)",0,0,0,0,0
"81470  Naarva (Ilomantsi)",0,0,0,0,0
"81560  Vuonisjärvi (Lieksa)",0,0,0,0,0
"81570  Kelvä (Lieksa)",0,0,0,0,0
"81590  Vuonislahti (Lieksa)",0,0,0,0,0
"81650  Hattuvaara (Lieksa)",0,0,0,0,0
"81660  Lehmikylä (Lieksa)",...,...,...,...,...
"81700  Lieksa Keskus (Lieksa)",1523,1526,1490,1485,1497
"81720  Mähkö-Timitra (Lieksa)",590,590,520,513,521
"81750  Pankakoski (Lieksa)",33,33,33,33,33
"81810  Jamali (Lieksa)",0,0,0,0,0
"81820  Kylänlahti (Lieksa)",3,3,3,3,3
"81850  Mätäsvaara (Lieksa)",4,4,4,4,4
"81860  Viekijärvi (Lieksa)",0,0,0,0,0
"81950  Pankajärvi (Lieksa)",0,0,0,0,0
"81970  Jongunjoki-Pankajärvi (Lieksa)",4,4,4,4,4
"82110  Heinävaara (Joensuu)",0,0,0,0,0
"82120  Keskijärvi (Joensuu)",0,0,0,0,0
"82140  Kiihtelysvaara Keskus (Joensuu)",1,1,1,1,0
"82160  Oskola (Joensuu)",2,3,1,1,1
"82170  Uskali (Joensuu)",0,0,0,0,0
"82180  Huhtilampi (Joensuu)",0,0,0,0,0
"82200  Hammaslahti (Joensuu)",4,4,4,4,4
"82210  Suhmura (Joensuu)",0,0,0,0,0
"82220  Niittylahti (Joensuu)",7,7,7,6,6
"82290  Nieminen (Rääkkylä)",0,0,0,0,0
"82300  Rääkkylä Keskus (Rääkkylä)",0,0,0,0,0
"82310  Oravisalo-Varpasalo (Rääkkylä)",3,3,3,3,3
"82335  Rasivaara (Rääkkylä)",16,16,16,16,16
"82350  Tikkala (Tohmajärvi)",0,0,0,0,0
"82360  Onkamo (Tohmajärvi)",3,3,3,3,3
"82380  Tolosenmäki (Kitee)",0,0,0,0,0
"82395  Haarajärvi (Kitee)",0,0,0,0,0
"82430  Puhos-Leinovaara (Kitee)",94,94,94,93,94
"82460  Hummovaara (Kitee)",0,0,0,0,0
"82490  Heinoniemi (Kitee)",0,0,0,0,0
"82500  Kitee Keskus (Kitee)",1441,1425,1408,1391,1407
"82510  Kiteenlahti (Kitee)",0,0,0,0,0
"82580  Juurikka (Kitee)",4,4,4,4,4
"82590  Närsäkkälä (Kitee)",0,0,0,0,0
"82600  Tohmajärvi Keskus (Tohmajärvi)",212,214,208,208,191
"82655  Värtsilä Keskus (Tohmajärvi)",10,10,10,10,10
"82660  Uusi-Värtsilä (Tohmajärvi)",58,53,48,43,43
"82670  Kaurila (Tohmajärvi)",3,3,3,3,3
"82675  Niirala-Jänisjoki (Tohmajärvi)",1,1,1,1,1
"82685  Littilä (Tohmajärvi)",0,0,0,0,0
"82710  Kovero (Joensuu)",0,0,0,0,0
"82730  Tuupovaara Keskus-Pirttiaho (Joensuu)",20,21,21,20,21
"82750  Öllölä (Joensuu)",0,0,0,0,0
"82760  Hoilola (Joensuu)",0,0,0,0,0
"82770  Kaustajärvi (Tohmajärvi)",0,0,0,0,0
"82815  Marjovaara (Joensuu)",0,0,0,0,0
"82820  Maukkula (Ilomantsi)",0,0,0,0,0
"82830  Haukivaara (Ilomantsi)",0,0,0,0,0
"82840  Pirttiaho (Joensuu)",0,0,0,0,0
"82850  Kinnasniemi (Joensuu)",0,0,0,0,0
"82865  Kokinvaara-Mannervaara (Joensuu)",0,0,0,0,0
"82870  Luutalahti (Joensuu)",3,3,3,3,3
"82880  Mannervaara (Joensuu)",0,0,0,0,0
"82900  Ilomantsi Keskus (Ilomantsi)",458,453,451,449,453
"82915  Sonkaja (Ilomantsi)",0,0,0,0,0
"82960  Lehtovaara-Kuikkalampi (Ilomantsi)",0,0,0,0,0
"82967  Hattu (Ilomantsi)",0,0,0,0,0
"82980  Möhkö (Ilomantsi)",0,0,0,0,0
"83100  Liperi Keskus (Liperi)",154,154,154,154,154
"83130  Salokylä (Liperi)",0,0,0,0,0
"83140  Puromäki (Liperi)",0,0,0,0,0
"83150  Roukalahti (Liperi)",0,0,0,0,0
"83160  Tutjunniemi (Liperi)",0,0,0,0,0
"83320  Risti-Juojärvi (Liperi)",0,0,0,0,0
"83330  Kaatamo (Liperi)",0,0,0,0,0
"83340  Kaarnalampi (Liperi)",0,0,0,0,0
"83400  Viinijärvi (Liperi)",46,46,46,46,48
"83430  Käsämä (Liperi)",0,0,0,0,0
"83450  Vaivio (Liperi)",0,0,0,0,0
"83460  Harinjärvi (Liperi)",0,0,0,0,0
"83480  Ahonkylä (Liperi)",0,0,0,0,0
"83500  Outokumpu Keskus (Outokumpu)",955,962,951,955,967
"83550  Kokonvaara (Outokumpu)",0,0,0,0,0
"83630  Kuusjärvi (Outokumpu)",0,0,0,0,0
"83660  Varislahti (Outokumpu)",0,0,0,0,0
"83700  Polvijärvi Keskus (Polvijärvi)",110,109,109,108,107
"83720  Kuorevaara (Polvijärvi)",0,0,0,0,0
"83750  Sotkuma (Polvijärvi)",0,0,0,0,0
"83760  Sola (Polvijärvi)",0,0,0,0,0
"83780  Horsmanaho (Polvijärvi)",3,3,3,3,3
"83825  Kinahmo (Polvijärvi)",0,0,0,0,0
"83830  Hukkala (Polvijärvi)",0,0,0,0,0
"83835  Ruvaslahti (Polvijärvi)",0,0,0,0,0
"83840  Saarivaara (Polvijärvi)",0,0,0,0,0
"83855  Martonvaara-Sammakkovaara (Polvijärvi)",0,0,0,0,0
"83870  Polvela-Timovaara (Juuka)",5,5,5,5,5
"83880  Kajoo (Juuka)",0,0,0,0,0
"83900  Juuka Keskus (Juuka)",276,282,281,282,281
"83910  Paalasmaa (Juuka)",0,0,0,0,0
"83915  Vihtasuo (Juuka)",...,...,...,...,...
"83940  Nunnanlahti (Juuka)",0,0,0,0,0
"83950  Ahmovaara (Juuka)",0,0,0,0,0
"83960  Koli (Lieksa)",0,0,0,0,0
"83985  Tuopanjoki (Juuka)",...,...,...,...,...
"84100  Ylivieska Keskus (Ylivieska)",2243,2282,2288,2320,2298
"84460  Tuomiperä (Ylivieska)",0,0,0,0,0
"84540  Vähäkangas (Ylivieska)",3,3,0,0,0
"84650  Kantokylä (Ylivieska)",0,0,0,0,0
"84770  Isokoski (Ylivieska)",0,0,0,0,0
"84880  Raudaskylä (Ylivieska)",2,2,2,2,2
"85100  Kalajoki Keskus (Kalajoki)",362,379,374,375,377
"85120  Metsä (Kalajoki)",0,0,0,0,0
"85140  Tynkä (Kalajoki)",0,0,0,0,0
"85150  Typpö (Kalajoki)",0,0,0,0,0
"85160  Rautio (Kalajoki)",0,0,0,0,0
"85180  Rahja (Kalajoki)",4,4,4,4,4
"85200  Alavieska Keskus (Alavieska)",25,24,25,25,25
"85210  Kähtävä (Alavieska)",0,0,0,0,0
"85230  Talus (Alavieska)",0,0,0,0,0
"85310  Sievi Asemanseutu (Sievi)",0,0,0,0,0
"85320  Markkula (Sievi)",2,2,2,2,2
"85340  Jyrinki (Sievi)",2,2,2,2,2
"85410  Sievi Keskus (Sievi)",62,62,60,62,62
"85430  Koivisto (Sievi)",0,0,0,0,0
"85450  Joenkylä (Sievi)",0,0,0,0,0
"85470  Kiiskilampi (Sievi)",0,0,0,0,0
"85500  Nivala Keskus (Nivala)",417,448,447,473,454
"85540  Mönkö (Nivala)",0,0,0,0,0
"85560  Ainastalo (Nivala)",0,0,0,0,0
"85580  Karvoskylä (Nivala)",0,0,0,0,0
"85620  Sarja (Nivala)",0,0,0,0,0
"85630  Sarjanahde (Nivala)",0,0,0,0,0
"85640  Maliskylä (Nivala)",0,0,0,0,0
"85660  Ruuskankylä (Nivala)",0,0,0,0,0
"85710  Parkkila (Haapajärvi)",1,1,1,1,1
"85730  Tulppo (Haapajärvi)",0,0,0,0,0
"85800  Haapajärvi Keskus (Haapajärvi)",583,588,548,550,550
"85820  Oksava (Haapajärvi)",4,1,1,1,1
"85840  Kuona (Haapajärvi)",0,0,0,0,0
"85900  Reisjärvi Keskus (Reisjärvi)",7,7,7,7,7
"85930  Kangaskylä-Tolpankangas (Reisjärvi)",0,0,0,0,0
"85940  Räisälänmäki (Reisjärvi)",0,0,0,0,0
"85980  Köyhänperä (Reisjärvi)",0,0,0,0,0
"86100  Pyhäjoki Keskus (Pyhäjoki)",56,100,99,100,100
"86110  Parhalahti (Pyhäjoki)",0,0,0,0,0
"86160  Pirttikoski (Pyhäjoki)",0,0,0,0,0
"86170  Yppäri (Pyhäjoki)",0,0,0,0,0
"86210  Petäjäskoski (Oulainen)",0,0,0,0,0
"86220  Merijärvi Keskus (Merijärvi)",4,4,4,4,4
"86230  Ylipää (Merijärvi)",0,0,0,0,0
"86240  Pyhänkoski (Merijärvi)",0,0,0,0,0
"86300  Oulainen Keskus (Oulainen)",653,653,637,634,638
"86350  Kilpua (Oulainen)",0,0,0,0,0
"86360  Ilveskorpi (Raahe)",0,0,0,0,0
"86400  Vihanti Keskus (Raahe)",19,19,19,19,19
"86440  Lampinsaari (Raahe)",33,33,33,33,33
"86460  Alpua (Raahe)",0,0,0,0,0
"86470  Lumimetsä (Raahe)",0,0,0,0,0
"86480  Karhukangas (Haapavesi)",0,0,0,0,0
"86510  Matkaniva (Oulainen)",0,0,0,0,0
"86530  Annonen (Haapavesi)",0,0,0,0,0
"86550  Mieluskylä (Haapavesi)",6,6,6,6,6
"86600  Haapavesi Keskus (Haapavesi)",273,274,275,272,274
"86650  Kytökylä-Joutenniva (Haapavesi)",6,6,5,6,6
"86680  Vatjusjärvi (Haapavesi)",0,0,0,0,0
"86690  Karsikas (Haapavesi)",0,0,0,0,0
"86710  Kärsämäki Keskus (Kärsämäki)",12,12,10,10,10
"86790  Venetpalo (Kärsämäki)",0,0,0,0,0
"86800  Pyhäsalmi (Pyhäjärvi)",524,527,535,534,536
"86810  Pellikkaperä (Pyhäjärvi)",0,0,0,0,0
"86850  Hiidenniemi (Pyhäjärvi)",0,0,0,0,0
"86870  Vesikoski (Pyhäjärvi)",0,0,0,0,0
"86900  Pyhäkumpu (Pyhäjärvi)",0,0,0,0,0
"86980  Väliaho (Pyhäjärvi)",0,0,0,0,0
"87100  Kajaani Keskus (Kajaani)",4105,4109,4157,4233,4234
"87150  Purola (Kajaani)",181,182,183,249,250
"87200  Teppana (Kajaani)",1380,1381,1379,1358,1358
"87250  Kättö-Kätönlahti (Kajaani)",258,259,259,259,259
"87300  Palokangas (Kajaani)",754,736,724,738,740
"87400  Petäisenniska (Kajaani)",322,322,322,320,321
"87500  Lehtikangas (Kajaani)",1479,1479,1474,1475,1480
"87700  Lohtaja-Kettu (Kajaani)",793,794,788,789,792
"87800  Vuoreslahti (Kajaani)",0,0,0,0,0
"87830  Nakertaja (Kajaani)",72,72,72,72,72
"87850  Paltaniemi (Kajaani)",0,0,0,0,0
"87900  Kajaani (Kajaani)",0,0,0,0,0
"87910  Linnantaus (Kajaani)",3,3,3,4,4
"87930  Salmijärvi (Kajaani)",0,0,0,0,0
"87950  Kuluntalahti (Kajaani)",0,0,0,0,0
"87970  Jormua (Kajaani)",0,0,0,0,0
"88120  Tuhkakylä (Sotkamo)",0,0,0,0,0
"88200  Otanmäki-Kytökoski (Kajaani)",369,369,370,369,370
"88270  Vuolijoki Keskus (Kajaani)",15,15,15,15,15
"88300  Paltamo Keskus (Paltamo)",60,59,59,59,59
"88310  Melalahti (Paltamo)",0,0,0,0,0
"88340  Manamansalo (Vaala)",0,0,0,0,0
"88350  Kivesjärvi (Paltamo)",0,0,0,0,0
"88380  Mieslahti (Paltamo)",0,0,0,0,0
"88400  Ristijärvi Keskus-Hiisijärvi (Ristijärvi)",52,53,53,53,53
"88440  Jokikylä (Ristijärvi)",0,0,0,0,0
"88460  Hiisijärvi (Ristijärvi)",0,0,0,0,0
"88470  Kontiomäki (Paltamo)",58,58,55,57,57
"88490  Pohjavaara (Sotkamo)",0,0,0,0,0
"88530  Paakki (Sotkamo)",0,0,0,0,0
"88600  Sotkamo Keskus (Sotkamo)",1058,1061,1081,1083,1090
"88610  Vuokatti (Sotkamo)",151,153,193,216,223
"88615  Vuokatin Urheiluopisto (Sotkamo)",...,...,...,...,...
"88620  Korholanmäki (Sotkamo)",0,0,0,0,0
"88640  Ontojoki (Sotkamo)",1,1,1,1,1
"88670  Juurikkalahti-Maanselkä (Sotkamo)",0,0,0,0,0
"88690  Maanselkä (Sotkamo)",0,0,0,0,0
"88730  Ylä-Vieksi (Kuhmo)",0,0,0,0,0
"88740  Härmänkylä-Iivantiira (Kuhmo)",0,0,0,0,0
"88760  Iivantiira (Kuhmo)",0,0,0,0,0
"88900  Kuhmo Keskus (Kuhmo)",1111,1111,1110,1111,1120
"88930  Lentiira-Kuumu (Kuhmo)",2,2,1,2,2
"88940  Kuumu (Kuhmo)",0,0,0,0,0
"89110  Törmänmäki (Puolanka)",0,0,0,0,0
"89140  Kotila-Törmänmäki (Puolanka)",0,0,0,0,0
"89200  Puolanka Keskus (Puolanka)",139,140,138,137,140
"89210  Puokiovaara (Puolanka)",0,0,0,0,0
"89320  Joukokylä (Puolanka)",0,0,0,0,0
"89330  Suolijärvi (Puolanka)",0,0,0,0,0
"89400  Hyrynsalmi Keskus (Hyrynsalmi)",140,140,140,140,140
"89430  Hoikka (Hyrynsalmi)",0,0,0,0,0
"89440  Sakara (Suomussalmi)",0,0,0,0,0
"89540  Moisiovaara (Hyrynsalmi)",0,0,0,0,0
"89560  Karhuvaara (Hyrynsalmi)",0,0,0,0,0
"89600  Ämmänsaari (Suomussalmi)",809,798,767,766,766
"89610  Jumaliskylä (Suomussalmi)",0,0,0,0,0
"89640  Pesiökylä (Suomussalmi)",0,0,0,0,0
"89660  Takalo (Suomussalmi)",0,0,0,0,0
"89670  Näljänkä (Suomussalmi)",0,0,0,0,0
"89680  Vaaranniva (Suomussalmi)",0,0,0,0,0
"89730  Ahjola (Suomussalmi)",0,0,0,0,0
"89740  Kianta (Suomussalmi)",0,0,0,0,0
"89760  Piispajärvi-Peranka-Kaikkoinen (Suomussalmi)",0,0,0,0,0
"89770  Peranka (Suomussalmi)",0,0,0,0,0
"89780  Kaikkonen (Suomussalmi)",0,0,0,0,0
"89800  Suomussalmi Keskus (Suomussalmi)",9,9,10,10,10
"89830  Ala-Vuokki (Suomussalmi)",0,0,0,0,0
"89840  Yli-Vuokki (Suomussalmi)",0,0,0,0,0
"89920  Ruhtinansalmi (Suomussalmi)",0,0,0,0,0
"90100  Oulu Keskus (Oulu)",7174,7489,7744,8251,8322
"90120  Heinäpää (Oulu)",5353,5393,5391,5461,5465
"90130  Raksila (Oulu)",4291,4291,4283,4304,4544
"90140  Karjasilta (Oulu)",1570,1643,1880,2124,2124
"90150  Höyhtyä (Oulu)",2074,2074,2229,2299,2349
"90220  Kontinkangas (Oulu)",640,720,714,818,916
"90230  Värttö-Maikkula (Oulu)",2139,2242,2278,2274,2282
"90240  Iinatti (Oulu)",1197,1213,1212,1213,1214
"90250  Kaukovainio (Oulu)",4214,4298,4331,4355,4391
"90310  Madekoski (Oulu)",85,73,73,73,73
"90400  Äimärautio (Oulu)",1362,1372,1420,1577,1580
"90410  Kaakkuri (Oulu)",308,308,306,306,306
"90420  Metsokangas (Oulu)",2394,2443,2367,2434,2437
"90440  Kempele Keskus (Kempele)",1390,1382,1436,1505,1475
"90450  Honkanen (Kempele)",181,181,207,207,207
"90460  Oulunsalo Keskus (Oulu)",330,330,314,314,345
"90470  Varjakka (Oulu)",0,0,0,0,0
"90480  Hailuoto (Hailuoto)",0,0,0,0,0
"90500  Tuira (Oulu)",6453,6531,6905,6858,6910
"90510  Hietasaari (Oulu)",1041,1044,1042,1042,1042
"90520  Taskila-Toppila (Oulu)",4327,4619,4914,5220,5269
"90530  Välivainio (Oulu)",3300,3410,3565,3647,3651
"90540  Kuivasjärvi (Oulu)",1006,985,984,974,982
"90550  Pyykösjärvi-Puolivälinkangas (Oulu)",1611,1669,1694,1694,1731
"90560  Koskela-Oulu (Oulu)",1047,1031,1040,1042,1037
"90570  Kaijonharju-Linnanmaa (Oulu)",4349,4390,4459,4461,4447
"90580  Rajakylä (Oulu)",1032,1034,1033,1033,1048
"90590  Teknologiakylä (Oulu)",67,37,51,55,79
"90600  Oulun rahtiterminaali (Oulu)",0,0,0,0,0
"90620  Rusko-Heikinharju (Oulu)",3,3,44,44,44
"90630  Korvensuora (Oulu)",690,736,746,746,770
"90650  Haapalehto (Oulu)",1862,1855,1856,1856,1856
"90660  Sanginsuu (Oulu)",0,0,0,0,0
"90670  Hiukkavaara (Oulu)",376,467,543,617,657
"90800  Pateniemi (Oulu)",419,447,446,538,624
"90810  Kiviniemi (Oulu)",79,79,79,79,79
"90820  Kello (Oulu)",22,22,22,22,22
"90830  Haukipudas Keskus (Oulu)",689,691,691,699,735
"90840  Haukipudas Asemanseutu (Oulu)",4,4,4,4,4
"90850  Martinniemi (Oulu)",110,109,110,109,110
"90860  Halosenniemi (Oulu)",0,0,0,0,0
"90900  Kiiminki Keskus (Oulu)",274,274,274,247,247
"90910  Kontio (Oulu)",0,0,0,0,0
"90940  Jääli (Oulu)",61,61,61,61,61
"91100  Ii Keskus (Ii)",143,144,144,188,188
"91110  Ii Asemanseutu (Ii)",5,5,5,5,5
"91140  Olhava (Ii)",0,0,0,0,3
"91150  Yli-Olhava (Ii)",0,0,0,0,0
"91200  Yli-Ii Keskus (Oulu)",3,19,19,19,19
"91210  Jakkukylä (Ii)",0,0,0,0,0
"91240  Tannila (Oulu)",0,0,0,0,0
"91260  Pahkakoski - Räinä (Oulu)",0,0,0,0,0
"91300  Ylikiiminki Keskus (Oulu)",17,17,17,17,17
"91310  Arkala (Oulu)",0,0,0,0,0
"91410  Jokirinne (Muhos)",29,29,18,18,18
"91430  Leppiniemi (Muhos)",29,29,28,28,29
"91500  Muhos Keskus (Muhos)",291,292,291,292,294
"91510  Rova (Muhos)",0,0,0,0,0
"91560  Kylmälänkylä (Muhos)",0,0,0,0,0
"91600  Utajärvi Keskus (Utajärvi)",90,87,81,80,80
"91620  Sanginkylä (Utajärvi)",0,0,0,0,0
"91630  Juorkuna (Utajärvi)",0,0,0,0,0
"91640  Särkijärvi (Utajärvi)",0,0,0,0,0
"91660  Ahmas (Utajärvi)",0,0,0,0,0
"91670  Rokua (Utajärvi)",0,0,0,0,0
"91700  Vaala Keskus - Oterma (Vaala)",83,85,85,86,86
"91710  Jylhämä (Vaala)",2,2,2,2,2
"91720  Oterma (Vaala)",0,0,0,0,0
"91730  Kankari (Vaala)",0,0,0,0,0
"91740  Jaalanka - Liminpuro (Vaala)",0,0,0,0,0
"91750  Liminpuro (Vaala)",0,0,0,0,0
"91760  Säräisniemi (Vaala)",16,16,16,16,16
"91780  Neittävä (Vaala)",0,0,0,0,0
"91790  Nuojua (Vaala)",0,0,0,0,0
"91800  Tyrnävä (Tyrnävä)",52,53,53,52,58
"91900  Liminka Keskus (Liminka)",180,204,187,174,174
"91910  Tupos (Liminka)",0,0,0,2,2
"91930  Ala-Temmes (Liminka)",0,0,0,0,0
"91950  Temmes (Tyrnävä)",0,0,0,0,0
"91980  Lumijoki (Lumijoki)",0,0,0,0,0
"92100  Raahe Keskus (Raahe)",1793,1797,1868,1852,1856
"92120  Ollinsaari - Mestauskallio (Raahe)",971,859,852,856,856
"92130  Isoholmi - Antinkangas (Raahe)",276,276,288,288,288
"92140  Pattijoki Keskus (Raahe)",0,0,0,0,0
"92150  Kummatti - Junnilanmäki (Raahe)",682,684,683,649,657
"92160  Saloinen (Raahe)",0,0,0,0,0
"92180  Lapaluoto (Raahe)",0,0,0,0,0
"92210  Arkkukari (Raahe)",4,4,4,4,4
"92220  Piehinki (Raahe)",0,0,0,0,0
"92230  Mattilanperä (Raahe)",0,0,0,0,0
"92240  Lasikangas (Raahe)",0,0,0,0,0
"92260  Kopsa (Raahe)",0,0,0,0,0
"92320  Siikajoki Keskus (Siikajoki)",0,0,0,0,0
"92330  Karinkanta (Siikajoki)",0,0,0,0,0
"92350  Revonlahti (Siikajoki)",0,0,0,0,0
"92400  Ruukki Keskus (Siikajoki)",26,26,25,25,26
"92430  Paavola - Huumola (Siikajoki)",4,4,4,4,4
"92440  Saarikoski (Siikajoki)",0,0,0,0,0
"92450  Luohua (Siikajoki)",0,0,0,0,0
"92470  Tuomioja (Siikajoki)",0,0,0,0,0
"92500  Rantsila Keskus (Siikalatva)",0,0,0,0,0
"92520  Sipola (Siikalatva)",0,0,0,0,0
"92530  Mankila (Siikalatva)",0,0,0,0,0
"92600  Pulkkila Keskus (Siikalatva)",7,7,8,8,8
"92610  Vorna (Siikalatva)",0,0,0,0,0
"92620  Piippola Keskus (Siikalatva)",8,8,8,8,8
"92640  Leskelä (Siikalatva)",0,0,0,0,0
"92650  Laakkola (Siikalatva)",0,0,0,0,0
"92700  Kestilä (Siikalatva)",22,22,18,18,18
"92810  Pelsonsuo (Vaala)",0,0,0,0,0
"92830  Veneheitto (Vaala)",0,0,0,0,0
"92910  Tavastkenkä (Pyhäntä)",0,0,0,0,0
"92920  Ahokylä (Pyhäntä)",0,0,0,0,0
"92930  Pyhäntä (Pyhäntä)",0,0,0,0,0
"93100  Pudasjärvi Keskus (Pudasjärvi)",469,505,497,518,517
"93140  Kipinä (Pudasjärvi)",0,0,0,0,0
"93160  Hetejärvi (Pudasjärvi)",0,0,0,0,0
"93170  Yli-Kollaja (Pudasjärvi)",0,0,0,0,0
"93180  Ikosenniemi (Pudasjärvi)",0,0,0,0,0
"93187  Ala-Siurua (Pudasjärvi)",0,0,0,0,0
"93190  Yli-Siurua - Ikosenniemi (Pudasjärvi)",0,0,0,0,0
"93195  Kokkokylä (Pudasjärvi)",0,0,0,0,0
"93220  Livo (Pudasjärvi)",0,0,0,0,0
"93225  Pärjänsuo (Pudasjärvi)",0,0,0,0,0
"93240  Rytinki (Pudasjärvi)",0,0,0,0,0
"93250  Sarajärvi (Pudasjärvi)",0,0,0,0,0
"93270  Sotkajärvi (Pudasjärvi)",0,0,0,0,0
"93277  Iinattijärvi (Pudasjärvi)",0,0,0,0,0
"93280  Syöte (Pudasjärvi)",0,0,0,0,0
"93290  Pintamo (Pudasjärvi)",0,0,0,0,0
"93350  Jaurakkajärvi (Pudasjärvi)",0,0,0,0,0
"93390  Puhoskylä (Pudasjärvi)",0,0,0,0,0
"93400  Taivalkoski Keskus (Taivalkoski)",324,324,320,312,314
"93420  Jurmu (Taivalkoski)",0,0,0,0,0
"93440  Loukusa (Taivalkoski)",0,0,0,0,0
"93470  Inget (Taivalkoski)",0,0,0,0,0
"93540  Tyrövaara (Taivalkoski)",0,0,0,0,0
"93590  Vanhala (Taivalkoski)",3,3,3,3,3
"93600  Kuusamo (Kuusamo)",2147,2147,2126,2137,2162
"93700  Kurkijärvi - Oijusluoma (Kuusamo)",9,9,9,9,9
"93800  Muojärvi (Kuusamo)",10,9,9,9,9
"93830  Rukatunturi (Kuusamo)",0,0,0,0,0
"93900  Oulangan kansallispuisto (Kuusamo)",2,2,2,2,2
"93999  Lososaari (Kuusamo)",0,0,0,0,0
"94100  Kemi Keskus (Kemi)",4277,4288,4262,4267,4280
"94200  Torvinen - Vainio (Kemi)",501,487,479,479,486
